Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,DX,FF,FR,II,NP,PP,Total
BB 527,Main,3.0,10.0,,,12.0,10.0,1.0,,,,,,1.0,,,37
BB 529,Main,15.0,13.0,,,4.0,3.0,1.0,,,,,,,,,36
BB 531,Main,2.0,3.0,,,1.0,,,,,,,,,,,6
BB 535,Main,3.0,3.0,,,1.0,2.0,,,,,,1.0,,,,10
BB 553,Main,22.0,14.0,,,7.0,4.0,,,1.0,,,1.0,,,,49
BB 600,Main,4.0,17.0,,,13.0,9.0,1.0,,,,,1.0,,,,45
BB 601,Main,31.0,27.0,,,11.0,2.0,1.0,,,,,2.0,,,,74
BB 603,Main,24.0,31.0,2.0,,26.0,18.0,5.0,5.0,2.0,,,,,,,113
BB 603,M,,2.0,,,,,,,,,,,,,,2
BB 607,Main,9.0,13.0,,1.0,8.0,1.0,,,,,,,,,,33
BB 617,Main,9.0,2.0,,,5.0,1.0,1.0,,,,,,,,,18
BB 619,Main,9.0,10.0,,2.0,8.0,4.0,3.0,,,,,1.0,,,,38
BB 633,Main,5.0,5.0,,,11.0,5.0,5.0,2.0,5.0,,,,1.0,,,39
BB 638,Main,3.0,1.0,,1.0,5.0,1.0,3.0,2.0,,,,,,,,16
BB 638,M,,2.0,,,1.0,1.0,1.0,,,,,,,,,5
BB 647,Main,1.0,2.0,,,5.0,3.0,2.0,2.0,,,,,,,,15
BB 653,Main,5.0,16.0,,,8.0,4.0,1.0,,,,,,,,,34
BB 659,Main,2.0,3.0,,,1.0,,,,,,,1.0,,,,7
BB 661,Main,12.0,8.0,,,10.0,7.0,,1.0,,,,2.0,1.0,,,41
BB 663,Main,3.0,15.0,,,12.0,5.0,4.0,1.0,1.0,,,,1.0,,,42
BB 669,Main,6.0,4.0,,,9.0,7.0,5.0,2.0,,,,2.0,,,,35
BB 677,Main,1.0,10.0,,,12.0,5.0,3.0,,,,,1.0,,,,32
BB 681,Main,4.0,1.0,,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,12
BB 681,M,,1.0,,,,,,,,,,,,,,1
BB 701,Main,4.0,4.0,,,1.0,1.0,,,,,,,,,,10
BB 705,Main,2.0,,,,,,,,,,,,1.0,,,3
BB 706,Main,9.0,10.0,,3.0,5.0,2.0,,,,,,,,,,30
BB 899,Main,,,,,,,,,,,,,,3.0,72.0,76
BBS801,Main,10.0,12.0,,,2.0,,,,,,,,1.0,,,26
BM 659,Main,1.0,,,,2.0,,,,,,,1.0,,,,4
CE 103,Main,22.0,30.0,,,39.0,26.0,16.0,9.0,7.0,,,,,,,149
CE 203,Main,,,,,,,,,1.0,,,,,,,1
CE 203,S1,8.0,10.0,1.0,,14.0,8.0,7.0,8.0,3.0,,,1.0,,,,60
CE 203,S2,8.0,13.0,,,4.0,13.0,8.0,7.0,9.0,,,4.0,2.0,,,68
CE 203,S3,6.0,16.0,1.0,,11.0,5.0,5.0,2.0,4.0,,,4.0,1.0,,,55
CE 207,S1,17.0,21.0,,,24.0,10.0,7.0,9.0,2.0,,,,,,,90
CE 207,S2,12.0,17.0,,,25.0,17.0,6.0,3.0,2.0,,,,,,,82
CE 209,S1,9.0,21.0,1.0,,10.0,8.0,4.0,3.0,3.0,,,2.0,,,,61
CE 209,S2,6.0,13.0,,,11.0,17.0,3.0,4.0,3.0,,,4.0,2.0,,,63
CE 209,S3,6.0,13.0,,,11.0,14.0,9.0,1.0,4.0,,,,,,,58
CE 236,Main,4.0,2.0,,,2.0,8.0,4.0,4.0,7.0,,,,1.0,,,32
CE 310,Main,,1.0,,,,,,,,,,,,,,1
CE 324,Main,14.0,6.0,,,4.0,8.0,4.0,5.0,1.0,1.0,,3.0,,,,46
CE 333,S1,3.0,4.0,,,7.0,10.0,7.0,3.0,2.0,,,,,,,36
CE 333,S2,7.0,1.0,,,1.0,3.0,8.0,4.0,4.0,,,13.0,1.0,,,42
CE 333,S3,5.0,8.0,,,8.0,10.0,6.0,4.0,,,,2.0,,,,43
CE 337,S1,7.0,7.0,1.0,,10.0,6.0,5.0,5.0,10.0,,,7.0,,,,58
CE 337,S2,10.0,7.0,,,4.0,7.0,4.0,5.0,15.0,,,13.0,,,,65
CE 337,S3,5.0,6.0,1.0,,8.0,7.0,9.0,6.0,3.0,,,4.0,,,,49
CE 339,Main,,2.0,,,,,,1.0,5.0,,,,,,,8
CE 341,S1,20.0,36.0,,,14.0,2.0,,,,,,,,,,72
CE 341,S2,24.0,35.0,,,14.0,1.0,,,,,,1.0,,,,75
CE 401,S1,12.0,18.0,,,25.0,7.0,5.0,3.0,10.0,,,2.0,1.0,,,83
CE 401,S2,12.0,15.0,,,18.0,15.0,7.0,4.0,5.0,,,,2.0,,,78
CE 403,Main,6.0,5.0,,,7.0,3.0,4.0,,,,,1.0,,,,26
CE 407,S1,2.0,7.0,,,9.0,16.0,11.0,10.0,16.0,,,2.0,,,,73
CE 407,S2,4.0,9.0,1.0,,12.0,8.0,11.0,11.0,19.0,,,4.0,,,,79
CE 444,Main,,3.0,,,,,,,,,,,,,,3
CE 463,S1,16.0,29.0,1.0,,35.0,37.0,20.0,13.0,10.0,,,6.0,5.0,,,172
CE 463,S2,8.0,20.0,,,23.0,29.0,30.0,18.0,17.0,,,6.0,,,,151
