Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
BB 681,Main,1.0,1.0,,,,1.0,1.0,,,,,,,,4
BB 701,Main,6.0,2.0,,,3.0,1.0,,,,,,,,,12
BB 705,Main,2.0,3.0,,1.0,4.0,1.0,1.0,,,,,1.0,,,13
BB 706,Main,7.0,8.0,,1.0,4.0,5.0,3.0,1.0,1.0,,,,,,30
BB 805,Main,2.0,,,4.0,,,,,,,,,,,6
BB 899,Main,,,,,,,,,,,,,5.0,61.0,66
BBS801,Main,15.0,5.0,,,1.0,,,,,,,,,,21
BM 659,Main,3.0,7.0,,,9.0,5.0,2.0,2.0,2.0,,1.0,,,,31
CE 103,Main,15.0,34.0,,,46.0,34.0,13.0,2.0,,,,2.0,,,146
CE 203,S1,5.0,15.0,,,15.0,7.0,3.0,1.0,5.0,,6.0,,,,57
CE 203,S2,3.0,4.0,1.0,,6.0,5.0,17.0,5.0,8.0,,2.0,,,,51
CE 203,S3,8.0,9.0,1.0,,17.0,7.0,1.0,3.0,3.0,,3.0,,,,52
CE 207,S1,12.0,16.0,,,17.0,12.0,7.0,4.0,4.0,,,,,,72
CE 207,S2,15.0,17.0,,,18.0,9.0,8.0,3.0,2.0,,,,,,72
CE 209,S1,12.0,21.0,,,22.0,11.0,4.0,3.0,6.0,,4.0,,,,83
CE 209,S2,11.0,12.0,,,19.0,13.0,13.0,2.0,1.0,,,2.0,,,73
CE 235,S1,9.0,11.0,,,21.0,14.0,11.0,10.0,8.0,,,,,,84
CE 235,S2,12.0,15.0,,,23.0,12.0,10.0,5.0,8.0,,7.0,,,,92
CE 240,S1,8.0,17.0,,,28.0,25.0,7.0,1.0,,,1.0,,,,87
CE 240,S2,25.0,32.0,,,20.0,3.0,,,,,3.0,,,,83
CE 324,Main,16.0,9.0,1.0,,23.0,7.0,6.0,3.0,3.0,,1.0,1.0,,,70
CE 333,S1,1.0,4.0,,,17.0,12.0,10.0,3.0,6.0,,4.0,,,,57
CE 333,S2,5.0,6.0,,,8.0,10.0,9.0,10.0,4.0,,,,,,52
CE 333,S3,8.0,18.0,1.0,,10.0,15.0,12.0,8.0,7.0,,5.0,,,,84
CE 337,S1,6.0,7.0,,,7.0,7.0,7.0,6.0,3.0,,2.0,,,,45
CE 337,S2,12.0,8.0,,,15.0,3.0,11.0,6.0,2.0,,2.0,,,,59
CE 337,S3,6.0,7.0,,,11.0,12.0,8.0,5.0,3.0,,3.0,,,,55
CE 339,Main,1.0,,,,,,,1.0,2.0,,,,,,4
